Andromeda;Andromeda;And
Antlia;Antlia;Ant
Apus;Apus;Aps
Aquarius;Aquarius;Aqr
Aquila;Aquila;Aql
Ara;Ara;Ara
Aries;Aries;Ari
Auriga;Auriga;Aur
Boötes;Boötes;Boo
Caelum;Caelum;Cae
Camelopardalis;Camelopardalis;Cam
Cancer;Cancer;Cnc
Canes Venatici;Canes Venatici;CVn
Canis Major;Canis Major;CMa
Canis Minor;Canis Minor;CMi
Capricornus;Capricornus;Cap
Carina;Carina;Car
Cassiopeia;Cassiopeia;Cas
Centaurus;Centaurus;Cen
Cepheus;Cepheus;Cep
Cetus;Cetus;Cet
Chamaeleon;Chamaeleon;Cha
Circinus;Circinus;Cir
Columba;Columba;Col
Coma Berenices;Coma Berenices;Com
Corona Australis;Corona Australis;CrA
Corona Borealis;Corona Borealis;CrB
Corvus;Corvus;Crv
Crater;Crater;Crt
Crux;Crux;Cru
Cygnus;Cygnus;Cyg
Delphinus;Delphinus;Del
Dorado;Dorado;Dor
Draco;Draco;Dra
Equuleus;Equuleus;Equ
Eridanus;Eridanus;Eri
Fornax;Fornax;For
Gemini;Gemini;Gem
Grus;Grus;Gru
Hercules;Hercules;Her
Horologium;Horologium;Hor
Hydra;Hydra;Hya
Hydrus;Hydrus;Hyi
Indus;Indus;Ind
Lacerta;Lacerta;Lac
Leo;Leo;Leo
Leo Minor;Leo Minor;LMi
Lepus;Lepus;Lep
Libra;Libra;Lib
Lupus;Lupus;Lup
Lynx;Lynx;Lyn
Lyra;Lyra;Lyr
Mensa;Mensa;Men
Microscopium;Microscopium;Mic
Monoceros;Monoceros;Mon
Musca;Musca;Mus
Norma;Norma;Nor
Octans;Octans;Oct
Ophiuchus;Ophiuchus;Oph
Orion;Orion;Ori
Pavo;Pavo;Pav
Pegasus;Pegasus;Peg
Perseus;Perseus;Per
Phoenix;Phoenix;Phe
Pictor;Pictor;Pic
Pisces;Pisces;Psc
Piscis Austrinus;Piscis Austrinus;PsA
Puppis;Puppis;Pup
Pyxis;Pyxis;Pyx
Reticulum;Reticulum;Ret
Sagitta;Sagitta;Sge
Sagittarius;Sagittarius;Sgr
Scorpius;Scorpius;Sco
Sculptor;Sculptor;Scl
Scutum;Scutum;Sct
Serpens;Serpens;Ser
Sextans;Sextans;Sex
Taurus;Taurus;Tau
Telescopium;Telescopium;Tel
Triangulum;Triangulum;Tri
Triangulum Australe;Triangulum Australe;TrA
Tucana;Tucana;Tuc
Ursa Major;Ursa Major;UMa
Ursa Minor;Ursa Minor;UMi
Vela;Vela;Vel
Virgo;Virgo;Vir
Volans;Volans;Vol
Vulpecula;Vulpecula;Vul
