P|SA|Name|CLAT|CLON|SLAT|ELAT|SLON|ELON|DIR|DIAM|CT|ET|QUAD|MAP|AS|AD|REF|FT|Origin

"A"|"ma"|"Aachen"|9.2|60.9|||||"W"|4.8|"EU"|"GE"|"Unknown"|"Unknown"|5|2000|150|"AA"|"German coal basin."
"S"|"rh"|"Aananin"|34.9|339.9|||||"W"|0.0|"AS"|"KR"|"PRELIM"|"Unknown"|5|1982|30|"AA"|"Korean god of the Heavens."
"J"|"io"|"Ababinili Patera"|12.79|142.16|11.77|13.79|143.69|140.49|"W"|105.0|"NA"|"CH"|"Unknown"|"Unknown"|5|2003|83|"PE"|"Chickasaw fire and sun god."
"M"|"M"|"Abalos Colles"|77.0|72.0|75.0|78.8|67.0|75.0|"W"|245.0|"EU"|"RM"|"MC-01"|"I-2570"|5|2003|57|"CO"|"Named for classical albedo feature at 72N, 70W."
"M"|"ME"|"Abalos Colles"|76.86|288.0|74.84|78.68|293.0|285.0|"E"|245.0|"EU"|"RM"|"MC-01"|"I-2570"|5|2003|57|"CO"|"Named for classical albedo feature at 72N, 70W."
"M"|"M"|"Abalos Undae"|78.4|88.2|75.0|82.4|79.7|99.0|"W"|455.0|"EU"|"RM"|"MTM 80090"|"I-1811"|5|1988|57|"UN"|"Classical albedo feature at 72N, 70W."
"M"|"ME"|"Abalos Undae"|78.27|271.8|74.84|82.31|280.3|261.0|"E"|455.0|"EU"|"RM"|"MTM 80090"|"I-1811"|5|1988|57|"UN"|"Classical albedo feature at 72N, 70W."
"M"|"M"|"Aban"|16.1|249.0|16.0|16.1|248.9|249.0|"W"|4.2|"UR"|"RU"|"MC-14NW"|"I-1427"|5|1988|36|"AA"|"Town in Russia."
"M"|"ME"|"Aban"|15.93|111.0|15.83|15.93|111.1|111.0|"E"|4.2|"UR"|"RU"|"MC-14NW"|"I-1427"|5|1988|36|"AA"|"Town in Russia."
"U"|"ar"|"Abans"|-15.5|251.3|||||"E"|20.0|"AS"|"PE"|"ARIEL"|"Unknown"|5|1988|83|"AA"|"Spirit of the iron mines."
"N"|"tr"|"Abatos Planum"|-21.5|58.0|||||"E"|0.0|"AF"|"EG"|"Unknown"|"I-2153"|5|1991|83|"PM"|"Egyptian sacred island in Nile, \"paradise.\""
"E"|"m"|"Abbe"|-57.3|175.2|||||"E"|66.0|"EU"|"GE"|"LMP-3"|"LMP-3"|5|1970|68|"AA"|"Ernst Karl; German optician, physicist, astronomer (1840-1905)."
"E"|"m"|"Abbot"|5.6|54.8|||||"E"|10.0|"NA"|"AM"|"LTO62D1"|"LTO-62D1"|5|1973|0|"AA"|"Charles Greeley; American astrophysicist (1872-1973)."
